sku,attribute_set_code,product_type,categories,product_websites,name,visibility,product_online
MEMHTB16160Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 160MM (BOX 20),"Catalog, Search",1
MEMHTB16190Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 190MM (BOX 10),"Catalog, Search",1
MEMHTB1665Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M16 X 65MM (BOX 25),"Catalog, Search",1
MEMHTB20100Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 100MM (BOX 10),"Catalog, Search",1
MEMHTB20150Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 150MM (BOX 10),"Catalog, Search",1
MEMHTB20220Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M20 X 220MM (BOX 10),"Catalog, Search",1
MEMHTB24150Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M24 X 150MM (BOX 10),"Catalog, Search",1
MEMHTB2480Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M24 X 80MM (BOX 10),"Catalog, Search",1
MEMHTB30130Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M30 X 130MM (BOX 5),"Catalog, Search",1
MEMHTB30180Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M30 X 180MM (BOX 5),"Catalog, Search",1
MEMHTB840Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M8 X 40MM (BOX 200),"Catalog, Search",1
MEMHTB865Z,FRANCISKIRK,simple,"HEXAGONAL PRODUCTS/HIGH TENSILE BOLTS",base,HIGH TENSILE BOLT ZP M8 X 65MM (BOX 100),"Catalog, Search",1
MEMNYNP10Z,FRANCISKIRK,simple,"NUTS/NYLOC NUTS",base,TYPE P NYLON INSERT NUT ZP M10 (BOX 200),"Catalog, Search",1
MEMNYNP24Z,FRANCISKIRK,simple,"NUTS/NYLOC NUTS",base,TYPE P NYLON INSERT NUT ZP M24 (BOX 25),"Catalog, Search",1
MEMWAA14Z,FRANCISKIRK,simple,"WASHERS/TYPE A WASHER",base,TYPE A WASHER BRIGHT ZP 14MM (BOX 100),"Catalog, Search",1
MEMWAA24Z,FRANCISKIRK,simple,"WASHERS/TYPE A WASHER",base,TYPE A WASHER BRIGHT ZP 24MM (BOX 50),"Catalog, Search",1
MEMWAR1238Z,FRANCISKIRK,simple,"WASHERS/REPAIR WASHER",base,REPAIR WASHER ZP 12MM X 38 X 1.50 (BOX 100),"Catalog, Search",1
MEMWAR625Z,FRANCISKIRK,simple,"WASHERS/REPAIR WASHER",base,REPAIR WASHER ZP 6MM X 25 X 1.50 (BOX 100),"Catalog, Search",1
MEMWAR825Z,FRANCISKIRK,simple,"WASHERS/REPAIR WASHER",base,REPAIR WASHER ZP 8MM X 25 X 1.50 (BOX 100),"Catalog, Search",1
30MFV1055,FRANCISKIRK,simple,"NUTS/MARK V NUT/MARK V NUTS - ZINC & YELLOW",base,30MM MARK V FINE PITCH GRADE 10 Z & Y PHILIDAS,"Catalog, Search",1
20MFV1055,FRANCISKIRK,simple,"NUTS/MARK V NUT/MARK V NUTS - ZINC & YELLOW",base,M20 X - 1.5 PITCH GRADE 10 MARK V PHILIDAS NUT Z&Y,"Catalog, Search",1
LTHMP009601,FRANCISKIRK,simple,"ANCHORING PRODUCTS/HOUSEHOLD FIXINGS",base,FIXED WALL MOUNT FOR FLAT PANEL TVS,"Catalog, Search",1
MEMCAP10100,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 100MM (BOX 50),"Catalog, Search",1
MEMCAP10100Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 100MM (BOX 50),"Catalog, Search",1
MEMCAP10120Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 120MM (BOX 50),"Catalog, Search",1
MEMCAP1016Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 16MM (BOX 200),"Catalog, Search",1
MEMCAP1020,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 20MM (BOX 200),"Catalog, Search",1
MEMCAP1025,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 25MM (BOX 200),"Catalog, Search",1
MEMCAP1030,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 30MM (BOX 200),"Catalog, Search",1
MEMCAP1035,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 35MM (BOX 200),"Catalog, Search",1
MEMCAP1035Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 35MM (BOX 200),"Catalog, Search",1
MEMCAP1040,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 40MM (BOX 100),"Catalog, Search",1
MEMCAP1040Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 40MM (BOX 100),"Catalog, Search",1
MEMCAP1050,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 50MM (BOX 100),"Catalog, Search",1
MEMCAP1050Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 50MM (BOX 100),"Catalog, Search",1
MEMCAP1060,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 60MM (BOX 100),"Catalog, Search",1
MEMCAP1060Z,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW ZP M10 X 60MM (BOX 100),"Catalog, Search",1
MEMCAP1070,FRANCISKIRK,simple,"SOCKET PRODUCTS/SOCKET CAP",base,SOCKET CAP SCREW SELF COLOUR M10 X 70MM (BOX 100),"Catalog, Search",1
