sku,supplier,name,description,thread_form,diameter,length,finish_colour,grade,type,sub_type,pack_qty,price_edited,price_unit,fkbrand,size_option,color,barcode,thread_type,categories,status,price,unit_price,is_in_stock,images,counter
FAIRH54118,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIRH60118,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIRH601516,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAIRH72118,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BRUSHES, BROOMS & MOPS",,,,,
FAISDFLEX,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FAISDHOSE,,,,,,,,,,,,,,,,,,,"ANCHORING PRODUCTS/HOSE CLIPS",,,,,
FIR2107735,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
FIRAF400UK,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
FIRHA300CBUK,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
FIRSA300UKX5,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
FIRSA302UK,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
FIRSA700LUKX,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
FIRSA700UKX5,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
FIRSCO5UK,,,,,,,,,,,,,,,,,,,"PPE/SAFETY SIGNS, SMOKE & FIRE DETECTION",,,,,
FLE10370,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE10371,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE10372,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE10373,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE10374,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE11340,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE11341,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE11342,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE11344,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE11502,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE11513,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE11523,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE11532,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE11713,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE11723,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE11732,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE20015,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE20018,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE20020,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE20030,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE20115,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE20210,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE20305,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
FLE20405,,,,,,,,,,,,,,,,,,,"CLEANING PRODUCTS/BACKING PADS & POLISHING ACCESSORIES",,,,,
